Uniq_SampleID	Date of Collection
ME-HETL-J0703	1/6/21
ME-HETL-J0704	1/6/21
ME-HETL-J0705	1/6/21
ME-HETL-J0707	1/6/21
ME-HETL-J0708	1/6/21
ME-HETL-J0711	1/6/21
ME-HETL-J0712	1/6/21
ME-HETL-J0713	1/7/21
ME-HETL-J0714	1/7/21
ME-HETL-J0716	1/6/21
ME-HETL-J0717	1/6/21
ME-HETL-J0718	1/6/21
ME-HETL-J0720	1/6/21
ME-HETL-J0721	1/6/21
ME-HETL-J0722	1/6/21
ME-HETL-J0723	1/6/21
ME-HETL-J0724	1/6/21
ME-HETL-J0725	1/6/21
ME-HETL-J0726	1/6/21
ME-HETL-J0727	1/6/21
ME-HETL-J0728	1/6/21
ME-HETL-J0729	1/6/21
ME-HETL-J0730	1/6/21
ME-HETL-J0731	1/6/21
ME-HETL-J0732	1/6/21
ME-HETL-J0733	1/6/21
ME-HETL-J0734	1/6/21
ME-HETL-J0735	1/6/21
ME-HETL-J0736	1/6/21
ME-HETL-J0737	1/6/21
ME-HETL-J0738	1/6/21
ME-HETL-J0740	1/6/21
ME-HETL-J0741	1/7/21
ME-HETL-J0742	1/7/21
ME-HETL-J0743	1/7/21
ME-HETL-J0745	1/7/21
ME-HETL-J0746	1/8/21
ME-HETL-J0749	1/5/21
ME-HETL-J0750	1/5/21
ME-HETL-J0751	1/6/21
ME-HETL-J0753	1/6/21
ME-HETL-J0754	1/6/21
ME-HETL-J0755	1/6/21
ME-HETL-J0759	1/6/21
ME-HETL-J0760	1/6/21
ME-HETL-J0761	1/7/21
ME-HETL-J0762	1/7/21
ME-HETL-J0763	1/7/21
ME-HETL-J0765	1/5/21
ME-HETL-J0766	1/5/21
ME-HETL-J0768	1/14/21
ME-HETL-J0769	1/14/21
ME-HETL-J0771	1/14/21
ME-HETL-J0774	1/14/21
ME-HETL-J0776	1/14/21
ME-HETL-J0777	1/14/21
ME-HETL-J0778	1/7/21
ME-HETL-J0780	1/8/21
ME-HETL-J0781	1/8/21
ME-HETL-J0782	1/8/21
ME-HETL-J0784	1/8/21
ME-HETL-J0785	1/14/21
ME-HETL-J0787	1/15/21
ME-HETL-J0788	1/15/21
ME-HETL-J0789	1/13/21
ME-HETL-J0790	1/15/21
ME-HETL-J0791	1/14/21
ME-HETL-J0792	1/14/21
ME-HETL-J0793	1/15/21
ME-HETL-J0794	1/14/21
ME-HETL-J0795	1/12/21
ME-HETL-J0796	1/12/21
ME-HETL-J0800	1/14/21
ME-HETL-J0801	1/14/21
ME-HETL-J0803	1/14/21
ME-HETL-J0805	1/14/21
ME-HETL-J0806	1/14/21
ME-HETL-J0807	1/14/21
ME-HETL-J0808	1/14/21
ME-HETL-J0809	1/14/21
ME-HETL-J0810	1/14/21
ME-HETL-J0811	1/13/21
ME-HETL-J0812	1/13/21
ME-HETL-J0814	1/13/21
ME-HETL-J0815	1/12/21
ME-HETL-J0816	1/13/21
ME-HETL-J0817	1/12/21
ME-HETL-J0818	1/12/21
ME-HETL-J0819	1/12/21
ME-HETL-J0821	1/12/21
ME-HETL-J0822	1/12/21
ME-HETL-J0823	1/12/21
ME-HETL-J0824	1/12/21
ME-HETL-J0825	1/12/21
ME-HETL-J0826	1/12/21
ME-HETL-J0827	1/12/21
ME-HETL-J0828	1/12/21
ME-HETL-J0829	1/12/21
ME-HETL-J0830	1/12/21
ME-HETL-J0831	1/11/21
ME-HETL-J0832	1/10/21
ME-HETL-J0833	1/11/21
ME-HETL-J0834	1/12/21
ME-HETL-J0836	1/8/21
ME-HETL-J0837	1/8/21
ME-HETL-J0838	1/8/21
ME-HETL-J0840	1/8/21
ME-HETL-J0841	1/8/21
ME-HETL-J0842	1/8/21
ME-HETL-J0843	1/8/21
ME-HETL-J0844	1/7/21
ME-HETL-J0845	1/8/21
ME-HETL-J0846	1/7/21
ME-HETL-J0847	1/8/21
ME-HETL-J0848	1/7/21
ME-HETL-J0849	1/7/21
ME-HETL-J0850	1/8/21
ME-HETL-J0851	1/8/21
ME-HETL-J0852	1/8/21
ME-HETL-J0853	1/8/21
ME-HETL-J0854	1/8/21
ME-HETL-J0855	1/8/21
ME-HETL-J0856	1/8/21
ME-HETL-J0857	1/9/21
ME-HETL-J0858	1/9/21
ME-HETL-J0859	1/9/21
ME-HETL-J0860	1/9/21
ME-HETL-J0861	1/9/21
ME-HETL-J0862	1/11/21
ME-HETL-J0863	1/11/21
ME-HETL-J0864	1/11/21
ME-HETL-J0865	1/11/21
ME-HETL-J0866	1/11/21
ME-HETL-J0867	1/11/21
ME-HETL-J0868	1/11/21
ME-HETL-J0869	1/11/21
ME-HETL-J0870	1/11/21
ME-HETL-J0871	1/11/21
ME-HETL-J0872	1/11/21
ME-HETL-J0873	1/12/21
ME-HETL-J0874	1/12/21
ME-HETL-J0875	1/12/21
ME-HETL-J0876	1/12/21
ME-HETL-J0877	1/12/21
ME-HETL-J0878	1/12/21
ME-HETL-J0879	1/11/21
ME-HETL-J0880	1/11/21
ME-HETL-J0881	1/12/21
ME-HETL-J0882	1/12/21
ME-HETL-J0883	1/12/21
ME-HETL-J0884	1/12/21
ME-HETL-J0886	1/12/21
ME-HETL-J0887	1/12/21
ME-HETL-J0888	1/12/21
ME-HETL-J0889	1/12/21
ME-HETL-J0890	1/12/21
ME-HETL-J0892	1/12/21
ME-HETL-J0893	1/12/21
ME-HETL-J0894	1/12/21
ME-HETL-J0896	1/12/21
ME-HETL-J0897	1/12/21
ME-HETL-J0898	1/12/21
ME-HETL-J0899	1/12/21
ME-HETL-J0900	1/12/21
ME-HETL-J0901	1/12/21
ME-HETL-J0902	1/12/21
ME-HETL-J0904	1/12/21
ME-HETL-J0905	1/12/21
ME-HETL-J0906	1/12/21
ME-HETL-J0907	1/12/21
ME-HETL-J0908	1/12/21
ME-HETL-J0909	1/12/21
ME-HETL-J0910	1/12/21
ME-HETL-J0911	1/12/21
ME-HETL-J0912	1/12/21
ME-HETL-J0914	1/12/21
ME-HETL-J0915	1/12/21
ME-HETL-J0916	1/12/21
ME-HETL-J0917	1/11/21
ME-HETL-J0918	1/11/21
ME-HETL-J0919	1/11/21
ME-HETL-J0920	1/12/21
