Sample	Date of Collection	Pangolin	Month	Week
ME-CDC-QDX30084936	2021-10-11	AY.103	2021-10	2021-41
ME-CDC-QDX30084935	2021-10-11	AY.3	2021-10	2021-41
ME-CDC-QDX30084937	2021-10-11	AY.25	2021-10	2021-41
ME-CDC-QDX30084931	2021-10-11	AY.44	2021-10	2021-41
ME-CDC-QDX30084932	2021-10-11	AY.44	2021-10	2021-41
ME-CDC-QDX30084938	2021-10-11	AY.103	2021-10	2021-41
ME-CDC-QDX30084934	2021-10-11	AY.103	2021-10	2021-41
ME-CDC-QDX30084940	2021-10-12	AY.100	2021-10	2021-41
ME-CDC-QDX30084943	2021-10-12	AY.100	2021-10	2021-41
ME-CDC-QDX30084941	2021-10-12	AY.100	2021-10	2021-41
ME-CDC-QDX30084964	2021-10-12	AY.103	2021-10	2021-41
ME-CDC-QDX30084942	2021-10-12	AY.103	2021-10	2021-41
ME-CDC-QDX30084944	2021-10-12	AY.44	2021-10	2021-41
ME-CDC-QDX30084939	2021-10-12	AY.44	2021-10	2021-41
ME-CDC-QDX30084959	2021-10-13	AY.103	2021-10	2021-41
ME-CDC-QDX30084966	2021-10-13	AY.65	2021-10	2021-41
ME-CDC-QDX30084949	2021-10-13	AY.25.1	2021-10	2021-41
ME-CDC-QDX30084954	2021-10-13	AY.25	2021-10	2021-41
ME-CDC-QDX30084960	2021-10-13	AY.103	2021-10	2021-41
ME-CDC-QDX30084948	2021-10-13	AY.119.2	2021-10	2021-41
ME-CDC-QDX30084975	2021-10-13	AY.103	2021-10	2021-41
ME-CDC-QDX30084974	2021-10-13	AY.103	2021-10	2021-41
ME-CDC-QDX30084957	2021-10-13	AY.65	2021-10	2021-41
ME-CDC-QDX30084947	2021-10-13	AY.119.2	2021-10	2021-41
ME-CDC-QDX30085117	2021-10-14	AY.103	2021-10	2021-41
ME-CDC-QDX30085119	2021-10-14	AY.103	2021-10	2021-41
ME-CDC-QDX30084978	2021-10-14	AY.25.1	2021-10	2021-41
ME-CDC-QDX30085010	2021-10-14	AY.3	2021-10	2021-41
ME-CDC-QDX30085020	2021-10-14	AY.25	2021-10	2021-41
ME-CDC-QDX30084971	2021-10-14	AY.103	2021-10	2021-41
ME-CDC-QDX30084977	2021-10-14	AY.103	2021-10	2021-41
ME-CDC-QDX30084976	2021-10-14	AY.103	2021-10	2021-41
ME-CDC-QDX30085136	2021-10-15	AY.47	2021-10	2021-41
ME-CDC-QDX30085133	2021-10-15	AY.44	2021-10	2021-41
ME-CDC-QDX30085139	2021-10-15	AY.100	2021-10	2021-41
ME-CDC-QDX30085110	2021-10-15	AY.103	2021-10	2021-41
ME-CDC-QDX30085044	2021-10-15	AY.39	2021-10	2021-41
ME-CDC-QDX30085118	2021-10-15	AY.25	2021-10	2021-41
ME-CDC-QDX30085111	2021-10-15	AY.103	2021-10	2021-41
ME-CDC-QDX30085122	2021-10-15	AY.103	2021-10	2021-41
ME-CDC-QDX30085061	2021-10-15	AY.4	2021-10	2021-41
ME-CDC-QDX30085140	2021-10-15	AY.44	2021-10	2021-41
ME-CDC-QDX30085120	2021-10-15	AY.25	2021-10	2021-41
ME-CDC-QDX30085121	2021-10-15	AY.103	2021-10	2021-41
ME-CDC-QDX30085131	2021-10-15	AY.103	2021-10	2021-41
ME-CDCBI-CRSP_3N3Q3SEL423B4KO2	2021-10-18	AY.44	2021-10	2021-42
ME-CDCBI-CRSP_R5IAADL4V6GCGCSA	2021-10-18	AY.3	2021-10	2021-42
ME-CDCBI-CRSP_63NKQUCQAJ3A2FT2	2021-10-14	AY.39	2021-10	2021-41
ME-CDC-ASC210321426	2021-09-27	AY.3	2021-9	2021-39
ME-CDC-ASC210320387	2021-09-27	AY.47	2021-9	2021-39
ME-CDC-ASC210320472	2021-09-27	AY.25.1	2021-9	2021-39
ME-CDC-ASC210321466	2021-09-28	AY.25.1	2021-9	2021-39
ME-CDC-ASC210320545	2021-09-29	AY.25	2021-9	2021-39
ME-CDC-ASC210382280	2021-09-29	AY.117	2021-9	2021-39
ME-CDC-ASC210382423	2021-09-30	B.1	2021-9	2021-39
ME-CDC-ASC210382176	2021-09-30	AY.3	2021-9	2021-39
ME-CDC-ASC210381303	2021-09-30	AY.25	2021-9	2021-39
ME-CDC-ASC210322544	2021-10-01	AY.44	2021-10	2021-39
ME-CDC-ASC210322542	2021-10-01	AY.44	2021-10	2021-39
ME-CDCBI-CRSP_3LEQVYTKL6DFDQO2	2021-10-21	AY.4	2021-10	2021-42
